Swedish,English
det,the
vara,be
att,to
av,of
och,and
en,a
i,in
att,that
ha,have
jag,I
det,it
för,for
inte,not
på,on
med,with
han,he
som,as
du,you
göra,do
vid,at
detta,this
men,but
hans,his
av,by
från,from
de,they
vi,we
säga,say
hennes,her
hon,she
eller,or
en,an
kommer,will
min,my
en,one
alla,all
skulle,would
där,there
deras,their
vad,what
så,so
upp,up
ut,out
om,if
om,about
vem,who
få,get
vilka,which
gå,go
mig,me
när,when
göra,make
kan,can
gillar,like
tid,time
nej,no
bara,just
honom,him
veta,know
ta,take
folk,people
i,into
år,year
din,your
bra,good
några,some
skulle,could
dem,them
ser,see
andra,other
än,than
då,then
nu,now
titta,look
endast,only
komma,come
dess,its
över,over
tänka,think
också,also
tillbaka,back
efter,after
använda,use
två,two
hur,how
vår,our
arbete,work
första,first
bra,well
sätt,way
även,even
ny,new
vill,want
eftersom,because
någon,any
dessa,these
ge,give
dag,day
mest,most
oss,us
